글레코마,12988,Glecoma hederacea 'Variegata',Ground ivy,
금식나무,12998,Aucuba japonica  var. variegata,"Spottedlaurel,Japanese Aucuba, Japanese Laurel",
꽃베고니아,13201,Begonia semperflorens,"Wax Begonias,Fibrous Begonia",
네오레겔리아,13208,Neoregelia carolinae,Blushing Bromeliad,
녹영,13210,Senecio rowleyanus,"String of Pearls,String-of-Beads",
뉴기니아봉선화,13218,Impatiens hybrid 'New Guinea',New Guinea impatiens,
더피고사리,13335,Nephrolepis cordifolia 'Duffii',Lemon Button Fern,
덕구리난,13336,Beaucarnea recurvata (Nolina tuberculata),"Elephants Foot, Bottle Palm, Ponytail Palm",
덴파레,13338,Dendrobium phalaenopsis,Cocktown orchid,
도깨비고비,13339,Cyrtomium falcatum,"Holly fern, Japanese Holly, Japanese Hollyfern,  Japanese Netvein Hollyfern",
동백,14663,Camellia japonica,common camellia,
드라세나 마지나타,14689,Dracaena marginata,"Madagascar dragon tree, red edged Dracaena",데이터부족
디펜바키아 '트로픽스노우',14713,Dieffenbachia amoena 'Tropic snow',dumb cane,
렉스베고니아,14920,Begonia rex,rex begonia,
루모라고사리,15830,Rumohra adiantiformis,"leather leaf fern, seven weeks fern",
멜라니 고무나무,16246,Ficus elastica 'Robusta',"Robust Rubbertree, Rubber Plant, Rubbertree",
몬스테라,16449,Monstera deliciosa,"swiss cheese plant, fruit salad plant",
무늬알피니아,18596,Alpinia zerumbet 'Variegata',variegated ginger,
무늬팻츠헤데라,18602,Fatshedera lizei 'Variegata',variegated tree ivy,
무늬푸밀라고무나무,18604,Ficus pumila 'Variegata',variegated creeping fig,
뮤렌베키아,18649,Muehlenbeckia complexa,"maidenhair vine, creeping wire vine, lacy wire vine, mattress vine",
박쥐란,18659,Platycerium bifurcatum,"common staghorn fern, elkhorns",
헤미오니티스(하트펀),12981,Hemionitis arifolia,heart fern,
보스톤고사리,16037,Nephrolepis exaltata 'Bostoniensis',Boston fern,
봉의꼬리,16138,Pteris multifida,"spidar fern, spidar brake, chinese brake",
산세베리아,19448,Sansevieria trifasciata,"mother in law's tongue plant, snake plant",
상록넉줄고사리 '후마타',19453,Humata tyermannii (Davallia griffithiana),"squirrel's (bear's, white rabbit's) foot fern",
석창포,19457,Acorus gramineus,"Japanese sweet flag, Dwarf sedge, Japanese rush",
소피아 고무나무,19703,Ficus elastica 'Sofia',Ficus sofia,
수박페페로미아,19706,Peperomia sandersii,"watermelon peperomia, watermelon begonia",
수박필레아,19709,Pilea cadierei,Aluminum plant,
스킨답서스,19716,Epipremnum aureum,"scindapsus, devils ivy, goden pothos, hunter’s robe plant",
아글라오네마,19469,Aglaonema commutatum,"spotted evergreen, silver evergreen",
아디안텀,19467,Adiantum raddianum,Delta maidenhair fern,
아레카야자,19465,Chrysalidocarpus lutescens,"areca palm, butterfly palm, golden feather palm",
아스파라거스 풀루모수스,19464,Asparagus pulmosus var. nanus,"Asparagus fern, smilax",
아스플레니움,19463,Asplenium nidus,"bird's nest fern, hawaii bird's nest sleenwort",
아이비,19461,Hedera helix,"english ivy, baltic ivy",
얼룩자주달개비,18657,Zebrina pendula,"silvery wandering jew, zebrina inch plant",
에메랄드리플 페페로미아,18654,Peperomia caperata,Emerald Ripple Peperomia,
엽란,18591,Aspidistra elatior,"iron plant, cast iron plant",
인삼벤자민,17748,Ficus microcarpa 'Ginseng',Ginseng ficus,
접란,16447,Chlorophytum comosum,"ribbon plant, spider plant, spider ivy",
줄리아 페페로미아,15834,Peperomia puteolata,Parallel Peperomia,
칼라데아 마코야나,15829,Calathea makoyana,peacock plant,
칼라디움,14914,Caladium bicolor (hortulantum) Vent.,elephant's ears plant,
크로톤,13260,Codiaeum variegatum,"garden croton, variegated croton",
크립탄서스,13257,Cryptanthus spp.,earth stars plant,
파피오페딜럼,13247,Paphiopedilum hybrids,Lady's slipper,
포인세티아,13214,Euphorbia pulcherrima,"poinsettia, christmas flower plant",
필로덴드론 '제나두',13187,Philodendron 'Xanadu',Philodendron selloum,
흰꽃나도사프란,12920,Zephyranthes candida,Autumn Zephyrlily,
군자란,12974,Clivia miniata,"Scarlet Caffir Lily,Kaffir Lily, Clivia, Bush lily",
금사철나무,12994,Euonymus japonica,goldheart euonymus,
셀라기넬라,19696,Selaginella,"blue-green peacock fern, spike moss",
아펠란드라,19459,Aphelandra squarrosa,"zebra plant, saffron spike",
왜란,18588,Ophiopogon japonicus,"Mondo grass, Fountain plant, monkey grass",
벤자민고무나무,14919,Ficus benjamina,Weeping Fig,
구즈마니아,12972,Guzmania lingulata,,
무늬유카,18597,Yucca elephantipes 'Variegata',,
